zip,population_acs_2022,pop_10000_2022
62246,"10,117",1.0117
62248,540,0.054
62249,"16,649",1.6649
62250,652,0.0652
62253,717,0.0717
62254,"6,586",0.6586
62255,"1,030",0.103
62256,34,0.0034
62257,"1,897",0.1897
62258,"10,572",1.0572
62260,"6,461",0.6461
62261,12,0.0012
62262,"1,854",0.1854
62263,"5,109",0.5109
62264,"3,237",0.3237
62265,"4,418",0.4418
62266,13,0.0013
62268,"1,001",0.1001
62269,"35,467",3.5467
62271,"1,994",0.1994
62272,"1,898",0.1898
62273,259,0.0259
62274,"7,942",0.7942
62275,"3,004",0.3004
62277,"1,007",0.1007
62278,"6,692",0.6692
62279,70,0.007
62280,562,0.0562
62281,"2,811",0.2811
62282,646,0.0646
62284,745,0.0745
62285,"4,512",0.4512
62286,"5,372",0.5372
62288,"2,701",0.2701
62289,397,0.0397
62292,824,0.0824
62293,"4,392",0.4392
62294,"15,289",1.5289
62295,"1,449",0.1449
62297,338,0.0338
62298,"17,192",1.7192
62301,"30,944",3.0944
62305,"19,473",1.9473
62311,777,0.0777
62312,"1,933",0.1933
62313,330,0.033
62314,470,0.047
62316,876,0.0876
62319,240,0.024
62320,"2,557",0.2557
62321,"3,717",0.3717
62323,247,0.0247
62324,"1,398",0.1398
62325,471,0.0471
62326,"2,315",0.2315
62330,"1,472",0.1472
62334,166,0.0166
62336,94,0.0094
62338,"1,010",0.101
62339,"1,005",0.1005
62340,"1,700",0.17
62341,"3,453",0.3453
62343,761,0.0761
62344,20,0.002
62345,379,0.0379
62346,128,0.0128
62347,"1,999",0.1999
62348,219,0.0219
62349,680,0.068
62351,"1,934",0.1934
62352,215,0.0215
62353,"5,006",0.5006
62354,"1,435",0.1435
62355,"1,062",0.1062
62356,633,0.0633
62357,261,0.0261
62358,513,0.0513
62359,126,0.0126
62360,"1,898",0.1898
62361,330,0.033
62362,353,0.0353
62363,"5,195",0.5195
62365,406,0.0406
62366,"1,440",0.144
62367,"1,349",0.1349
62370,332,0.0332
62373,267,0.0267
62374,211,0.0211
62375,508,0.0508
62376,"1,106",0.1106
62378,814,0.0814
62379,"1,800",0.18
62380,452,0.0452
62401,"19,240",1.924
62410,"1,248",0.1248
62411,"4,070",0.407
62413,286,0.0286
62414,"1,644",0.1644
62417,"2,807",0.2807
62418,"2,076",0.2076
62419,258,0.0258
62420,"4,082",0.4082
62421,406,0.0406
62422,938,0.0938
62423,843,0.0843
62424,"2,475",0.2475
62425,843,0.0843
62426,890,0.089
62427,"1,948",0.1948
62428,"2,801",0.2801
62431,719,0.0719
62432,639,0.0639
62433,"1,150",0.115
62434,335,0.0335
62436,760,0.076
62438,211,0.0211
62439,"7,005",0.7005
62440,"1,055",0.1055
62441,"6,927",0.6927
62442,"2,540",0.254
62443,"1,849",0.1849
62444,407,0.0407
62445,"1,150",0.115
62446,353,0.0353
62447,"3,172",0.3172
62448,"5,411",0.5411
62449,"2,957",0.2957
62450,"12,327",1.2327
62451,"1,981",0.1981
62452,325,0.0325
62454,"10,604",1.0604
62458,"2,275",0.2275
62459,289,0.0289
62460,"1,171",0.1171
62461,652,0.0652
62462,"1,197",0.1197
62463,"1,160",0.116
62464,157,0.0157
62465,913,0.0913
62466,"4,171",0.4171
62467,"3,929",0.3929
62468,"2,369",0.2369
62469,388,0.0388
62471,"10,305",1.0305
62473,"1,143",0.1143
62474,624,0.0624
62475,289,0.0289
62476,"1,385",0.1385
62477,778,0.0778
62478,351,0.0351
62479,808,0.0808
62480,522,0.0522
62481,329,0.0329
62501,"2,242",0.2242
62510,"1,495",0.1495
62512,502,0.0502
62513,"1,485",0.1485
62514,380,0.038
62515,"1,059",0.1059
62517,238,0.0238
62518,181,0.0181
62519,46,0.0046
62520,"1,513",0.1513
62521,"33,453",3.3453
62522,"15,010",1.501
62523,800,0.08
62526,"30,572",3.0572
62530,"1,415",0.1415
62531,"1,892",0.1892
62532,64,0.0064
62533,788,0.0788
62534,"1,062",0.1062
62535,"3,856",0.3856
62536,741,0.0741
62537,329,0.0329
62538,471,0.0471
62539,"1,151",0.1151
62540,"1,186",0.1186
62541,46,0.0046
62543,652,0.0652
62544,"1,600",0.16
62545,"1,296",0.1296
